,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,16029.0,24,2.0,1.0,0.0,,102.0,0,0,0.0,1,1,3-5,1.0,16029.0
1,16031.0,25,1.0,4.0,0.0,,3602.0,0,0,,1,0,4-5,,16153.0
2,16150.0,29,2.0,4.0,0.0,,3020.0,1,7,,0,0,,,16275.0
3,16385.0,35,1.0,1.0,0.0,,105.0,1,2,,0,1,,,16385.0
4,16597.0,41,1.0,9.0,1.0,93.22033898305084,40310.0,0,0,,1,1,,,16927.0
5,16701.0,39,2.0,3.0,0.0,,1000.0,0,0,,1,0,,,16784.0
6,16920.0,44,2.0,1.0,1.0,,40.0,1,2,,0,0,,,16920.0
