,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,1.0,35961.0,1.0,0.0,,40.0,35961.0,10-9
1,1.0,36025.0,2.0,0.0,,1210.0,36066.0,11-9
2,2.0,36068.0,4.0,0.0,,2840.0,36191.0,
3,1.0,36165.0,1.0,0.0,,1080.0,36165.0,
4,1.0,36327.0,1.0,0.0,,42.0,36327.0,
5,2.0,36390.0,1.0,0.0,,181.0,36390.0,
6,1.0,36557.0,2.0,0.0,,360.0,36599.0,
7,2.0,36596.0,2.0,0.0,,420.0,36637.0,
8,1.0,36658.0,1.0,0.0,,40.0,36658.0,
9,2.0,36725.0,1.0,0.0,,40.0,36725.0,
10,1.0,36808.0,1.0,0.0,,184.0,36808.0,
11,1.0,36920.0,9.0,1.0,80.64516129032258,39380.0,37247.0,
12,2.0,36945.0,3.0,0.0,,4260.0,37029.0,
