,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,35961.0,30,1.0,1.0,0.0,,40.0,0.0,0,0.0,1,1,10-9,1.0,35961.0
1,36025.0,31,1.0,2.0,0.0,,1210.0,0.0,0,,1,0,11-9,,36066.0
2,36068.0,32,2.0,4.0,0.0,,2840.0,0.0,0,,1,0,,,36191.0
3,36165.0,35,1.0,1.0,0.0,,1080.0,2.0,1,,0,0,,,36165.0
4,36327.0,40,1.0,1.0,0.0,,42.0,0.0,0,,1,1,,,36327.0
5,36390.0,41,2.0,1.0,0.0,,181.0,2.0,2,,0,0,,,36390.0
6,36557.0,47,1.0,2.0,0.0,,360.0,0.0,0,,1,1,,,36599.0
7,36596.0,48,2.0,2.0,0.0,,420.0,0.0,0,,1,0,,,36637.0
8,36658.0,48,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,36658.0
9,36725.0,50,2.0,1.0,0.0,,40.0,0.0,0,,1,0,,,36725.0
10,36808.0,53,1.0,1.0,0.0,,184.0,0.0,0,,1,0,,,36808.0
11,36920.0,57,1.0,9.0,1.0,80.64516129032258,39380.0,0.0,0,,1,0,,,37247.0
12,36945.0,56,2.0,3.0,0.0,,4260.0,1.0,100,,0,0,,,37029.0
