,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,38340.0,32,2.0,2.0,0.0,,1210.0,0.0,0,1,1,11-9,2.0,38381.0
1,38407.0,35,1.0,12.0,1.0,92.42424242424242,85490.0,0.0,0,1,0,11-10,,38866.0
2,38463.0,34,2.0,1.0,0.0,,43.0,1.0,1,0,0,,,38463.0
3,38698.0,42,2.0,1.0,0.0,,104.0,0.0,0,1,1,,,38698.0
4,38813.0,45,2.0,15.0,1.0,93.75,106200.0,0.0,0,1,0,,,39388.0
5,39458.0,58,1.0,7.0,1.0,76.92307692307692,22900.0,0.0,0,1,0,,,39707.0
6,39722.0,57,2.0,5.0,1.0,,5940.0,0.0,0,1,0,,,39891.0
7,39911.0,67,1.0,4.0,1.0,,2960.0,2.0,30,0,0,,,40040.0
8,40138.0,66,2.0,3.0,1.0,,2747.0,2.0,100,0,1,,,40222.0
