,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,13944.0,30,2.0,1.0,0.0,,44.0,2,3,0.0,0,1,2-5,1.0,13944.0
1,14026.0,33,2.0,2.0,0.0,,540.0,0,0,,1,1,3-5,,14067.0
2,14040.0,32,1.0,1.0,0.0,,40.0,0,0,,1,0,,,14040.0
3,14110.0,34,1.0,1.0,0.0,,40.0,0,0,,1,0,,,14110.0
4,14141.0,35,2.0,2.0,0.0,,900.0,0,0,,1,0,,,14181.0
5,14191.0,35,1.0,7.0,1.0,88.52459016393442,35050.0,0,0,,1,0,,,14440.0
6,14366.0,43,2.0,2.0,0.0,,424.0,0,0,,1,0,,,14407.0
7,14487.0,46,2.0,9.0,1.0,88.88888888888891,34700.0,0,0,,1,0,,,14820.0
8,14799.0,49,1.0,6.0,1.0,76.31578947368422,13000.0,1,30,,0,0,,,15010.0
