,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,81857.0,30.0,2.0,2.0,0.0,,85.0,2.0,100,0.0,0,1,22-20,2.0,81902.0
1,0.0,,0.0,0.0,0.0,0.0,0.0,100.0,0,,100,1,22-21,,0.0
