,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,11332.0,27,2.0,1.0,0.0,,43.0,2.0,3,0.0,0,1,2-4,2.0,11332.0
1,11441.0,33,1.0,1.0,0.0,,40.0,0.0,0,,1,1,2-5,,11441.0
2,11444.0,31,2.0,1.0,0.0,,600.0,0.0,0,,1,0,,,11444.0
3,11501.0,34,1.0,1.0,0.0,,40.0,2.0,4,,0,0,,,11501.0
4,11741.0,38,1.0,5.0,0.0,,11010.0,0.0,0,,1,1,,,11908.0
5,11758.0,41,2.0,15.0,1.0,89.0625,73104.0,0.0,0,,1,0,,,12335.0
6,12375.0,57,1.0,8.0,0.0,,27070.0,2.0,30,,0,0,,,12665.0
7,12706.0,56,2.0,8.0,1.0,96.96969696969695,22300.0,2.0,100,,0,1,,,12996.0
