,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,97114.0,6,1.0,2.0,1.0,,2946.0,0,0,1,1,28-23,1.0,97156.0
1,97126.0,6,2.0,2.0,1.0,,2943.0,2,1,0,0,29-23,,97167.0
2,97501.0,17,1.0,1.0,1.0,,45.0,1,24,0,1,,,97501.0
3,97665.0,23,1.0,1.0,0.0,,100.0,2,7,0,1,,,97665.0
4,97696.0,24,2.0,1.0,0.0,,40.0,2,24,0,1,,,97696.0
5,97922.0,30,2.0,2.0,0.0,,360.0,2,10,0,1,,,97963.0
6,97955.0,32,1.0,8.0,1.0,85.71428571428572,25640.0,0,0,1,1,,,98246.0
7,98038.0,31,2.0,1.0,0.0,,40.0,1,1,0,0,,,98038.0
8,98257.0,40,2.0,7.0,0.0,,19120.0,1,27,0,1,,,98508.0
