,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,1.0,43564.0,2.0,0.0,,604.0,43604.0,11-11
1,2.0,43601.0,3.0,0.0,,1586.0,43683.0,11-12
2,1.0,43666.0,2.0,0.0,,1940.0,43708.0,
3,2.0,43747.0,3.0,0.0,,1264.0,43830.0,
4,1.0,44047.0,1.0,0.0,,100.0,44047.0,
5,1.0,44163.0,2.0,0.0,,1270.0,44204.0,
6,2.0,44227.0,6.0,0.0,,4741.0,44442.0,
7,1.0,44315.0,3.0,0.0,,1945.0,44398.0,
8,1.0,44558.0,2.0,0.0,,1210.0,44599.0,
9,2.0,44586.0,7.0,1.0,90.0,14540.0,44830.0,
10,1.0,44868.0,6.0,0.0,,13930.0,45075.0,
11,2.0,45070.0,4.0,1.0,,2466.0,45196.0,
12,1.0,45221.0,3.0,0.0,,1670.0,45306.0,
13,1.0,45428.0,1.0,0.0,,103.0,45428.0,
14,2.0,45819.0,2.0,0.0,,364.0,45859.0,
15,1.0,45915.0,5.0,0.0,,7040.0,46078.0,
16,2.0,45925.0,8.0,1.0,88.23529411764706,28370.0,46216.0,
