,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,79614.0,32,2.0,2.0,0.0,,542.0,0,0,0.0,1,1,22-19,2.0,79655.0
1,79662.0,34,1.0,2.0,0.0,,982.0,0,0,,1,0,22-20,,79703.0
2,79789.0,37,2.0,2.0,0.0,,540.0,0,0,,1,0,,,79830.0
3,79801.0,37,1.0,1.0,0.0,,245.0,0,0,,1,0,,,79801.0
4,79936.0,41,1.0,2.0,0.0,,1360.0,0,0,,1,0,,,79979.0
5,79980.0,41,2.0,12.0,1.0,94.23076923076924,79190.0,0,0,,1,0,,,80435.0
6,80181.0,48,1.0,1.0,0.0,,42.0,0,0,,1,0,,,80181.0
7,80302.0,51,1.0,12.0,1.0,86.4406779661017,69020.0,2,30,,0,0,,,80752.0
