,Frame
0,116
1,142
2,169
3,192
4,217
5,243
6,271
7,294
8,317
9,339
10,365
11,389
12,410
13,433
14,456
15,477
16,497
17,524
18,547
19,570
20,589
21,608
22,625
23,672
24,695
25,717
26,737
27,754
28,774
29,801
30,837
31,864
32,892
33,962
34,976
35,1008
36,1033
37,1136
38,1157
39,1218
40,1240
41,1259
42,1279
43,1301
44,1327
45,1356
46,1389
47,1407
48,1693
49,1924
50,2007
51,2034
52,2058
53,2083
54,2108
55,2130
56,2152
57,2215
58,2243
59,2270
60,2294
61,2315
62,2341
63,2371
64,2392
65,2419
66,2438
67,2462
68,2484
69,2505
70,2524
71,2545
72,2563
73,2586
74,2649
75,2666
76,2684
77,2704
78,2723
79,2745
80,2853
81,2891
82,2912
83,2927
84,2943
85,3150
86,3236
87,3263
88,3289
89,3314
90,3339
91,3361
92,3386
93,3407
94,3426
95,3477
96,3504
97,3530
98,3550
99,3583
100,3606
101,3626
102,3650
103,3672
104,3707
105,3725
106,3748
107,3768
108,3787
109,3807
110,3840
111,3856
112,3874
113,3895
114,3913
115,3928
116,3945
117,3990
118,4021
119,4040
120,4062
121,4078
122,4283
123,4306
124,4534
125,4618
126,4646
127,4670
128,4696
129,4722
130,4745
131,4770
132,4795
133,4821
134,4846
135,4882
136,4903
137,4927
138,4949
139,4971
140,4990
141,5013
142,5034
143,5055
144,5078
145,5111
146,5133
147,5163
148,5183
149,5202
150,5220
151,5237
152,5256
153,5273
154,5291
155,5309
156,5338
157,5356
158,5379
159,5395
160,5592
161,5607
162,5639
163,5657
164,5684
165,5718
166,5743
167,5759
168,5776
169,5794
170,5817
171,5835
172,5871
173,5895
174,5914
175,5953
176,5999
177,6041
178,6484
179,6540
180,6565
181,6588
182,6610
183,6632
184,6654
185,6675
186,6695
187,6721
188,6750
189,6783
190,6800
191,6836
192,6855
193,6890
194,6912
195,6935
196,6956
197,7142
198,7226
199,7251
200,7277
201,7304
202,7330
203,7356
204,7381
205,7403
206,7427
207,7451
208,7474
209,7501
210,7521
211,7543
212,7564
213,7583
214,7602
215,7624
216,7644
217,7661
218,7681
219,7706
220,7723
221,7747
222,7770
223,7792
224,7813
225,7832
226,7859
227,7876
228,7894
229,7912
230,7933
231,7995
232,8011
233,8028
234,8046
235,8234
236,8258
237,8277
238,8455
239,8478
240,8539
241,8565
242,8589
243,8615
244,8639
245,8693
246,8716
247,8739
248,8786
249,8807
250,8829
251,8867
252,8905
253,8922
254,8945
255,8964
256,8983
257,9003
258,9025
259,9046
260,9072
261,9093
262,9112
263,9141
264,9163
265,9189
266,9210
267,9229
268,9259
269,9303
270,9333
271,9362
272,9381
273,9398
274,9437
275,9578
276,9607
277,9627
278,9647
279,9666
280,9694
281,9712
282,9739
283,9768
284,9821
285,9850
286,9864
287,10371
288,10597
289,10680
290,10707
291,10731
292,10755
293,10779
294,10807
295,10830
296,10852
297,10875
298,10896
299,10918
300,10945
301,10969
302,10990
303,11013
304,11036
305,11072
306,11091
307,11119
308,11138
309,11162
310,11180
311,11200
312,11218
313,11236
314,11259
315,11279
316,11297
317,11331
318,11352
319,11389
320,11406
321,11425
322,11482
323,11564
324,11597
325,11655
326,11686
327,11953
328,11974
329,11994
330,12012
331,12043
332,12061
333,12090
334,12110
335,12131
336,12150
337,12169
338,12191
339,12211
340,12238
341,12273
342,12300
343,12321
344,12341
345,12361
346,12735
347,13020
348,13191
349,13275
350,13301
351,13325
352,13349
353,13372
354,13397
355,13422
356,13449
357,13472
358,13494
359,13515
360,13542
361,13566
362,13601
363,13631
364,13650
365,13668
366,13703
367,13725
368,13752
369,13785
370,13808
371,13829
372,13852
373,13873
374,13894
375,13908
376,13925
377,13944
378,13962
379,14005
380,14025
381,14069
382,14094
383,14173
384,14484
385,14507
386,14531
387,14554
388,14584
389,14610
390,14629
391,14659
392,14683
393,14703
394,14722
395,14740
396,14758
397,14780
398,14899
399,15054
400,15080
401,15103
402,15128
403,15148
404,15362
405,15447
406,15474
407,15500
408,15525
409,15550
410,15573
411,15597
412,15620
413,15643
414,15670
415,15696
416,15721
417,15742
418,15766
419,15796
420,15820
421,15844
422,15866
423,15886
424,15905
425,15936
426,15958
427,15976
428,15995
429,16015
430,16184
431,16208
432,16229
433,16247
434,16266
435,16288
436,16307
437,16328
438,16344
439,16364
440,16414
441,16448
442,16489
443,16508
444,16538
445,16570
446,16970
447,16996
448,17201
449,17285
450,17313
451,17337
452,17361
453,17387
454,17413
455,17439
456,17462
457,17486
458,17508
459,17531
460,17552
461,17576
462,17596
463,17615
464,17636
465,17662
466,17679
467,17701
468,17722
469,17740
470,17761
471,17790
472,17815
473,17833
474,17852
475,17878
476,17894
477,17937
478,17953
479,17977
480,17999
481,18019
482,18036
483,18052
484,18067
485,18113
486,18144
487,18163
488,18183
489,18270
490,18288
491,18306
492,18478
493,18532
494,18553
495,18575
496,18595
497,18615
498,18633
499,18654
500,18673
501,19041
502,19098
503,19123
504,19148
505,19172
506,19196
507,19377
508,19462
509,19491
510,19516
511,19540
512,19568
513,19594
514,19619
515,19647
516,19671
517,19693
518,19718
519,19741
520,19765
521,19788
522,19813
523,19835
524,19880
525,19901
526,19922
527,19944
528,19965
529,19983
530,20006
531,20035
532,20054
533,20083
534,20109
535,20133
536,20153
537,20169
538,20206
539,20222
540,20394
541,20426
542,20445
543,20465
544,20484
545,20513
546,20532
547,20549
548,20574
549,20590
550,20633
551,20660
552,20684
553,20699
554,20721
555,20763
556,21221
557,21358
558,21386
559,21411
560,21436
561,21470
562,21492
563,21512
564,21537
565,21789
566,21872
567,21898
568,21922
569,21947
570,21972
571,21996
572,22020
573,22045
574,22068
575,22095
576,22121
577,22144
578,22168
579,22189
580,22210
581,22231
582,22252
583,22271
584,22292
585,22315
586,22334
587,22357
588,22376
589,22398
590,22423
591,22444
592,22463
593,22523
594,22553
595,22571
596,22588
597,22606
598,22762
599,22782
600,22951
601,22979
602,23001
603,23020
604,23038
605,23057
606,23081
607,23104
608,23124
609,23146
610,23175
611,23196
612,23231
613,23384
614,23404
615,23425
616,23453
617,23590
618,23663
619,23682
620,23712
621,23727
622,23770
623,23785
624,23935
625,24051
626,24222
627,24306
628,24332
629,24356
