,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,43564.0,27,1.0,2.0,0.0,,604.0,0.0,0,1,1,11-11,2.0,43604.0
1,43601.0,26,2.0,3.0,0.0,,1586.0,0.0,0,1,0,11-12,,43683.0
2,43666.0,29,1.0,2.0,0.0,,1940.0,0.0,0,1,0,,,43708.0
3,43747.0,28,2.0,3.0,0.0,,1264.0,2.0,5,0,0,,,43830.0
4,44047.0,40,1.0,1.0,0.0,,100.0,0.0,0,1,1,,,44047.0
5,44163.0,44,1.0,2.0,0.0,,1270.0,0.0,0,1,0,,,44204.0
6,44227.0,41,2.0,6.0,0.0,,4741.0,0.0,0,1,0,,,44442.0
7,44315.0,47,1.0,3.0,0.0,,1945.0,2.0,2,0,0,,,44398.0
8,44558.0,51,1.0,2.0,0.0,,1210.0,0.0,0,1,1,,,44599.0
9,44586.0,47,2.0,7.0,1.0,90.0,14540.0,0.0,0,1,0,,,44830.0
10,44868.0,62,1.0,6.0,0.0,,13930.0,0.0,0,1,0,,,45075.0
11,45070.0,55,2.0,4.0,1.0,,2466.0,0.0,0,1,0,,,45196.0
12,45221.0,67,1.0,3.0,0.0,,1670.0,2.0,4,0,0,,,45306.0
13,45428.0,69,1.0,1.0,0.0,,103.0,1.0,2,0,1,,,45428.0
14,45819.0,78,2.0,2.0,0.0,,364.0,0.0,0,1,1,,,45859.0
15,45915.0,88,1.0,5.0,0.0,,7040.0,0.0,0,1,0,,,46078.0
16,45925.0,80,2.0,8.0,1.0,88.23529411764706,28370.0,2.0,100,0,0,,,46216.0
