,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,41317.0,33,2.0,3.0,1.0,,404.0,0.0,0,0.0,1,1,11-10,2.0,41400.0
1,41356.0,34,1.0,2.0,0.0,,360.0,2.0,1,,0,0,11-11,,41398.0
2,41512.0,38,2.0,2.0,1.0,,555.0,0.0,0,,1,1,,,41557.0
3,41527.0,38,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,41527.0
4,41597.0,39,1.0,3.0,0.0,,1641.0,0.0,0,,1,0,,,41679.0
5,41702.0,43,2.0,2.0,0.0,,920.0,0.0,0,,1,0,,,41745.0
6,41756.0,40,1.0,1.0,0.0,,100.0,1.0,6,,0,0,,,41756.0
7,41951.0,48,2.0,1.0,0.0,,40.0,2.0,1,,0,1,,,41951.0
8,42123.0,52,2.0,13.0,1.0,96.29629629629628,89300.0,0.0,0,,1,1,,,42616.0
9,42129.0,49,1.0,2.0,0.0,,360.0,0.0,0,,1,0,,,42169.0
10,42366.0,53,1.0,2.0,1.0,,85.0,0.0,0,,1,0,,,42411.0
11,42468.0,54,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,42468.0
12,42616.0,58,1.0,1.0,1.0,,40.0,2.0,100,,0,0,,,42616.0
