,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,71051.0,32,1.0,3.0,0.0,,1185.0,0.0,0,0.0,1,1,18-18,1.0,71133.0
1,71052.0,28,2.0,1.0,0.0,,240.0,0.0,0,,1,0,19-18,,71052.0
2,71128.0,29,2.0,3.0,0.0,,1607.0,0.0,0,,1,0,,,71212.0
3,71189.0,33,1.0,4.0,0.0,,3885.0,0.0,0,,1,0,,,71313.0
4,71353.0,35,2.0,2.0,0.0,,1640.0,0.0,0,,1,0,,,71395.0
5,71383.0,35,1.0,2.0,0.0,,540.0,1.0,13,,0,0,,,71424.0
6,71514.0,37,1.0,5.0,1.0,,5340.0,0.0,0,,1,1,,,71679.0
7,71593.0,40,2.0,1.0,0.0,,40.0,1.0,100,,0,0,,,71593.0
