,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,1.0,22479.0,1.0,0.0,,105.0,22479.0,6-5
1,2.0,22586.0,2.0,0.0,,700.0,22629.0,6-6
2,1.0,22636.0,3.0,0.0,,1520.0,22719.0,
3,2.0,22749.0,2.0,0.0,,540.0,22792.0,
4,1.0,22798.0,4.0,0.0,,3025.0,22922.0,
5,2.0,22928.0,3.0,0.0,,2810.0,23012.0,
6,2.0,23238.0,1.0,0.0,,104.0,23238.0,
7,1.0,23257.0,3.0,0.0,,1060.0,23340.0,
8,2.0,23373.0,6.0,0.0,,3166.0,23589.0,
9,1.0,23472.0,2.0,0.0,,540.0,23513.0,
10,2.0,23730.0,3.0,0.0,,2490.0,23814.0,
11,1.0,23740.0,1.0,0.0,,42.0,23740.0,
12,1.0,23815.0,2.0,0.0,,840.0,23857.0,
13,2.0,23942.0,3.0,1.0,,2420.0,24027.0,
