,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,22479.0,27,1.0,1.0,0.0,,105.0,1.0,4,0,1,6-5,2.0,22479.0
1,22586.0,30,2.0,2.0,0.0,,700.0,0.0,0,1,1,6-6,,22629.0
2,22636.0,32,1.0,3.0,0.0,,1520.0,0.0,0,1,0,,,22719.0
3,22749.0,34,2.0,2.0,0.0,,540.0,0.0,0,1,0,,,22792.0
4,22798.0,34,1.0,4.0,0.0,,3025.0,0.0,0,1,0,,,22922.0
5,22928.0,37,2.0,3.0,0.0,,2810.0,1.0,3,0,0,,,23012.0
6,23238.0,45,2.0,1.0,0.0,,104.0,0.0,0,1,1,,,23238.0
7,23257.0,47,1.0,3.0,0.0,,1060.0,0.0,0,1,0,,,23340.0
8,23373.0,50,2.0,6.0,0.0,,3166.0,0.0,0,1,0,,,23589.0
9,23472.0,51,1.0,2.0,0.0,,540.0,2.0,14,0,0,,,23513.0
10,23730.0,56,2.0,3.0,0.0,,2490.0,0.0,0,1,1,,,23814.0
11,23740.0,56,1.0,1.0,0.0,,42.0,0.0,0,1,0,,,23740.0
12,23815.0,58,1.0,2.0,0.0,,840.0,2.0,18,0,0,,,23857.0
13,23942.0,60,2.0,3.0,1.0,,2420.0,2.0,100,0,1,,,24027.0
