,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Continue,Start,Score,Win,Frame_End
0,48158.0,23,1.0,1.0,0.0,,180.0,1.0,5,0,1,12-12,1.0,48158.0
1,48305.0,28,2.0,1.0,0.0,,40.0,2.0,2,0,1,13-12,,48305.0
2,48470.0,32,2.0,2.0,0.0,,540.0,0.0,0,1,1,,,48510.0
3,48544.0,37,1.0,3.0,0.0,,1400.0,0.0,0,1,0,,,48627.0
4,48591.0,34,2.0,3.0,0.0,,1000.0,2.0,3,0,0,,,48678.0
5,48757.0,35,2.0,2.0,0.0,,1023.0,0.0,0,1,1,,,48797.0
6,48799.0,41,1.0,2.0,0.0,,360.0,2.0,7,0,0,,,48842.0
7,48927.0,39,2.0,1.0,0.0,,180.0,0.0,0,1,1,,,48927.0
8,48955.0,43,1.0,1.0,0.0,,100.0,2.0,1,0,0,,,48955.0
9,49128.0,49,1.0,3.0,0.0,,1260.0,1.0,9,0,1,,,49210.0
10,49322.0,53,2.0,1.0,0.0,,100.0,0.0,0,1,1,,,49322.0
11,49345.0,54,1.0,3.0,0.0,,1915.0,0.0,0,1,0,,,49426.0
12,49399.0,54,2.0,1.0,1.0,,40.0,1.0,100,0,0,,,49399.0
