,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,1.0,60823.0,3.0,1.0,,3446.0,60904.0,17-14
1,2.0,60823.0,3.0,1.0,,3446.0,60904.0,17-15
2,1.0,61244.0,1.0,1.0,,180.0,61244.0,
3,2.0,61278.0,1.0,1.0,,40.0,61278.0,
4,2.0,61706.0,2.0,0.0,,1200.0,61749.0,
5,1.0,61755.0,3.0,0.0,,1344.0,61837.0,
6,2.0,62041.0,1.0,0.0,,240.0,62041.0,
7,1.0,62042.0,1.0,0.0,,40.0,62042.0,
8,2.0,62153.0,1.0,0.0,,43.0,62153.0,
9,1.0,62231.0,10.0,1.0,84.48275862068967,53460.0,62612.0,
10,2.0,62424.0,10.0,1.0,65.625,59820.0,62800.0,
