,Frame,Tumo,Games
0,116,1,0
1,142,2,0
2,169,3,0
3,192,4,0
4,217,5,0
5,243,6,0
6,271,7,0
7,294,8,0
8,317,9,0
9,339,10,0
10,365,11,0
11,389,12,0
12,410,13,0
13,433,14,0
14,456,15,0
15,477,16,0
16,497,17,0
17,524,18,0
18,547,19,0
19,570,20,0
20,589,21,0
21,608,22,0
22,625,23,0
23,672,24,0
24,695,25,0
25,717,26,0
26,737,27,0
27,754,28,0
28,774,29,0
29,801,30,0
30,837,31,0
31,864,32,0
32,892,33,0
33,962,34,0
34,976,35,0
35,1008,36,0
36,1033,37,0
37,1136,38,0
38,1157,39,0
39,1218,40,0
40,1240,41,0
41,1259,42,0
42,1279,43,0
43,1301,44,0
44,1327,45,0
45,1356,46,0
46,1389,47,0
47,1407,48,0
48,1693,49,0
49,1924,50,0
50,2007,1,1
51,2034,2,1
52,2058,3,1
53,2083,4,1
54,2108,5,1
55,2130,6,1
56,2152,7,1
57,2215,8,1
58,2243,9,1
59,2270,10,1
60,2294,11,1
61,2315,12,1
62,2341,13,1
63,2371,14,1
64,2392,15,1
65,2419,16,1
66,2438,17,1
67,2462,18,1
68,2484,19,1
69,2505,20,1
70,2524,21,1
71,2545,22,1
72,2563,23,1
73,2586,24,1
74,2649,25,1
75,2666,26,1
76,2684,27,1
77,2704,28,1
78,2723,29,1
79,2745,30,1
80,2853,31,1
81,2891,32,1
82,2912,33,1
83,2927,34,1
84,2943,35,1
85,3150,36,1
86,3236,1,2
87,3263,2,2
88,3289,3,2
89,3314,4,2
90,3339,5,2
91,3361,6,2
92,3386,7,2
93,3407,8,2
94,3426,9,2
95,3477,10,2
96,3504,11,2
97,3530,12,2
98,3550,13,2
99,3583,14,2
100,3606,15,2
101,3626,16,2
102,3650,17,2
103,3672,18,2
104,3707,19,2
105,3725,20,2
106,3748,21,2
107,3768,22,2
108,3787,23,2
109,3807,24,2
110,3840,25,2
111,3856,26,2
112,3874,27,2
113,3895,28,2
114,3913,29,2
115,3928,30,2
116,3945,31,2
117,3990,32,2
118,4021,33,2
119,4040,34,2
120,4062,35,2
121,4078,36,2
122,4283,37,2
123,4306,38,2
124,4534,39,2
125,4618,1,3
126,4646,2,3
127,4670,3,3
128,4696,4,3
129,4722,5,3
130,4745,6,3
131,4770,7,3
132,4795,8,3
133,4821,9,3
134,4846,10,3
135,4882,11,3
136,4903,12,3
137,4927,13,3
138,4949,14,3
139,4971,15,3
140,4990,16,3
141,5013,17,3
142,5034,18,3
143,5055,19,3
144,5078,20,3
145,5111,21,3
146,5133,22,3
147,5163,23,3
148,5183,24,3
149,5202,25,3
150,5220,26,3
151,5237,27,3
152,5256,28,3
153,5273,29,3
154,5291,30,3
155,5309,31,3
156,5338,32,3
157,5356,33,3
158,5379,34,3
159,5395,35,3
160,5592,36,3
161,5607,37,3
162,5639,38,3
163,5657,39,3
164,5684,40,3
165,5718,41,3
166,5743,42,3
167,5759,43,3
168,5776,44,3
169,5794,45,3
170,5817,46,3
171,5835,47,3
172,5871,48,3
173,5895,49,3
174,5914,50,3
175,5953,51,3
176,5999,52,3
177,6041,53,3
178,6484,54,3
179,6540,55,3
180,6565,56,3
181,6588,57,3
182,6610,58,3
183,6632,59,3
184,6654,60,3
185,6675,61,3
186,6695,62,3
187,6721,63,3
188,6750,64,3
189,6783,65,3
190,6800,66,3
191,6836,67,3
192,6855,68,3
193,6890,69,3
194,6912,70,3
195,6935,71,3
196,6956,72,3
197,7142,73,3
198,7226,1,4
199,7251,2,4
200,7277,3,4
201,7304,4,4
202,7330,5,4
203,7356,6,4
204,7381,7,4
205,7403,8,4
206,7427,9,4
207,7451,10,4
208,7474,11,4
209,7501,12,4
210,7521,13,4
211,7543,14,4
212,7564,15,4
213,7583,16,4
214,7602,17,4
215,7624,18,4
216,7644,19,4
217,7661,20,4
218,7681,21,4
219,7706,22,4
220,7723,23,4
221,7747,24,4
222,7770,25,4
223,7792,26,4
224,7813,27,4
225,7832,28,4
226,7859,29,4
227,7876,30,4
228,7894,31,4
229,7912,32,4
230,7933,33,4
231,7995,34,4
232,8011,35,4
233,8028,36,4
234,8046,37,4
235,8234,38,4
236,8258,39,4
237,8277,40,4
238,8455,41,4
239,8539,1,5
240,8565,2,5
241,8589,3,5
242,8615,4,5
243,8639,5,5
244,8693,6,5
245,8716,7,5
246,8739,8,5
247,8786,9,5
248,8807,10,5
249,8829,11,5
250,8867,12,5
251,8905,13,5
252,8922,14,5
253,8945,15,5
254,8964,16,5
255,8983,17,5
256,9003,18,5
257,9025,19,5
258,9046,20,5
259,9072,21,5
260,9093,22,5
261,9112,23,5
262,9141,24,5
263,9163,25,5
264,9189,26,5
265,9210,27,5
266,9229,28,5
267,9259,29,5
268,9303,30,5
269,9333,31,5
270,9362,32,5
271,9381,33,5
272,9398,34,5
273,9437,35,5
274,9578,36,5
275,9607,37,5
276,9627,38,5
277,9647,39,5
278,9666,40,5
279,9694,41,5
280,9712,42,5
281,9739,43,5
282,9768,44,5
283,9821,45,5
284,9850,46,5
285,9864,47,5
286,10371,48,5
287,10597,49,5
288,10680,1,6
289,10707,2,6
290,10731,3,6
291,10755,4,6
292,10779,5,6
293,10807,6,6
294,10830,7,6
295,10852,8,6
296,10875,9,6
297,10896,10,6
298,10918,11,6
299,10945,12,6
300,10969,13,6
301,10990,14,6
302,11013,15,6
303,11036,16,6
304,11072,17,6
305,11091,18,6
306,11119,19,6
307,11138,20,6
308,11162,21,6
309,11180,22,6
310,11200,23,6
311,11218,24,6
312,11236,25,6
313,11259,26,6
314,11279,27,6
315,11297,28,6
316,11331,29,6
317,11352,30,6
318,11389,31,6
319,11406,32,6
320,11425,33,6
321,11482,34,6
322,11564,35,6
323,11597,36,6
324,11655,37,6
325,11686,38,6
326,11953,39,6
327,11974,40,6
328,11994,41,6
329,12012,42,6
330,12043,43,6
331,12061,44,6
332,12090,45,6
333,12110,46,6
334,12131,47,6
335,12150,48,6
336,12169,49,6
337,12191,50,6
338,12211,51,6
339,12238,52,6
340,12273,53,6
341,12300,54,6
342,12321,55,6
343,12341,56,6
344,12361,57,6
345,12735,58,6
346,13020,59,6
347,13191,60,6
348,13275,1,7
349,13301,2,7
350,13325,3,7
351,13349,4,7
352,13372,5,7
353,13397,6,7
354,13422,7,7
355,13449,8,7
356,13472,9,7
357,13494,10,7
358,13515,11,7
359,13542,12,7
360,13566,13,7
361,13601,14,7
362,13631,15,7
363,13650,16,7
364,13668,17,7
365,13703,18,7
366,13725,19,7
367,13752,20,7
368,13785,21,7
369,13808,22,7
370,13829,23,7
371,13852,24,7
372,13873,25,7
373,13894,26,7
374,13908,27,7
375,13925,28,7
376,13944,29,7
377,13962,30,7
378,14005,31,7
379,14025,32,7
380,14069,33,7
381,14094,34,7
382,14173,35,7
383,14484,36,7
384,14507,37,7
385,14531,38,7
386,14554,39,7
387,14584,40,7
388,14610,41,7
389,14629,42,7
390,14659,43,7
391,14683,44,7
392,14703,45,7
393,14722,46,7
394,14740,47,7
395,14758,48,7
396,14780,49,7
397,14899,50,7
398,15054,51,7
399,15080,52,7
400,15103,53,7
401,15128,54,7
402,15148,55,7
403,15362,56,7
404,15447,1,8
405,15474,2,8
406,15500,3,8
407,15525,4,8
408,15550,5,8
409,15573,6,8
410,15597,7,8
411,15620,8,8
412,15643,9,8
413,15670,10,8
414,15696,11,8
415,15721,12,8
416,15742,13,8
417,15766,14,8
418,15796,15,8
419,15820,16,8
420,15844,17,8
421,15866,18,8
422,15886,19,8
423,15905,20,8
424,15936,21,8
425,15958,22,8
426,15976,23,8
427,15995,24,8
428,16015,25,8
429,16184,26,8
430,16208,27,8
431,16229,28,8
432,16247,29,8
433,16266,30,8
434,16288,31,8
435,16307,32,8
436,16328,33,8
437,16344,34,8
438,16364,35,8
439,16414,36,8
440,16448,37,8
441,16489,38,8
442,16508,39,8
443,16538,40,8
444,16570,41,8
445,16970,42,8
446,16996,43,8
447,17201,44,8
448,17285,1,9
449,17313,2,9
450,17337,3,9
451,17361,4,9
452,17387,5,9
453,17413,6,9
454,17439,7,9
455,17462,8,9
456,17486,9,9
457,17508,10,9
458,17531,11,9
459,17552,12,9
460,17576,13,9
461,17596,14,9
462,17615,15,9
463,17636,16,9
464,17662,17,9
465,17679,18,9
466,17701,19,9
467,17722,20,9
468,17740,21,9
469,17761,22,9
470,17790,23,9
471,17815,24,9
472,17833,25,9
473,17852,26,9
474,17878,27,9
475,17894,28,9
476,17937,29,9
477,17953,30,9
478,17977,31,9
479,17999,32,9
480,18019,33,9
481,18036,34,9
482,18052,35,9
483,18067,36,9
484,18113,37,9
485,18144,38,9
486,18163,39,9
487,18183,40,9
488,18270,41,9
489,18288,42,9
490,18306,43,9
491,18478,44,9
492,18532,45,9
493,18553,46,9
494,18575,47,9
495,18595,48,9
496,18615,49,9
497,18633,50,9
498,18654,51,9
499,18673,52,9
500,19041,53,9
501,19098,54,9
502,19123,55,9
503,19148,56,9
504,19172,57,9
505,19196,58,9
506,19377,59,9
507,19462,1,10
508,19491,2,10
509,19516,3,10
510,19540,4,10
511,19568,5,10
512,19594,6,10
513,19619,7,10
514,19647,8,10
515,19671,9,10
516,19693,10,10
517,19718,11,10
518,19741,12,10
519,19765,13,10
520,19788,14,10
521,19813,15,10
522,19835,16,10
523,19880,17,10
524,19901,18,10
525,19922,19,10
526,19944,20,10
527,19965,21,10
528,19983,22,10
529,20006,23,10
530,20035,24,10
531,20054,25,10
532,20083,26,10
533,20109,27,10
534,20133,28,10
535,20153,29,10
536,20169,30,10
537,20206,31,10
538,20222,32,10
539,20394,33,10
540,20426,34,10
541,20445,35,10
542,20465,36,10
543,20484,37,10
544,20513,38,10
545,20532,39,10
546,20549,40,10
547,20574,41,10
548,20590,42,10
549,20633,43,10
550,20660,44,10
551,20684,45,10
552,20699,46,10
553,20721,47,10
554,20763,48,10
555,21221,49,10
556,21358,50,10
557,21386,51,10
558,21411,52,10
559,21436,53,10
560,21470,54,10
561,21492,55,10
562,21512,56,10
563,21537,57,10
564,21789,58,10
565,21872,1,11
566,21898,2,11
567,21922,3,11
568,21947,4,11
569,21972,5,11
570,21996,6,11
571,22020,7,11
572,22045,8,11
573,22068,9,11
574,22095,10,11
575,22121,11,11
576,22144,12,11
577,22168,13,11
578,22189,14,11
579,22210,15,11
580,22231,16,11
581,22252,17,11
582,22271,18,11
583,22292,19,11
584,22315,20,11
585,22334,21,11
586,22357,22,11
587,22376,23,11
588,22398,24,11
589,22423,25,11
590,22444,26,11
591,22463,27,11
592,22523,28,11
593,22553,29,11
594,22571,30,11
595,22588,31,11
596,22606,32,11
597,22762,33,11
598,22782,34,11
599,22951,35,11
600,22979,36,11
601,23001,37,11
602,23020,38,11
603,23038,39,11
604,23057,40,11
605,23081,41,11
606,23104,42,11
607,23124,43,11
608,23146,44,11
609,23175,45,11
610,23196,46,11
611,23231,47,11
612,23384,48,11
613,23404,49,11
614,23425,50,11
615,23453,51,11
616,23590,52,11
617,23663,53,11
618,23682,54,11
619,23712,55,11
620,23727,56,11
621,23770,57,11
622,23785,58,11
623,23935,59,11
624,24051,60,11
625,24222,61,11
626,24306,1,12
627,24332,2,12
628,24356,3,12
629,24380,4,12
630,24405,5,12
631,24431,6,12
632,24465,7,12
633,24500,8,12
634,24528,9,12
635,24550,10,12
636,24580,11,12
637,24608,12,12
638,24632,13,12
639,24664,14,12
640,24689,15,12
641,24710,16,12
642,24730,17,12
643,24748,18,12
644,24780,19,12
645,24799,20,12
646,24823,21,12
647,24844,22,12
648,24862,23,12
649,24883,24,12
650,24906,25,12
651,24924,26,12
652,24945,27,12
653,24962,28,12
654,24980,29,12
655,25011,30,12
656,25029,31,12
657,25048,32,12
658,25183,33,12
659,25203,34,12
660,25221,35,12
661,25242,36,12
662,25258,37,12
663,25275,38,12
664,25301,39,12
665,25321,40,12
666,25493,41,12
667,25636,42,12
668,25658,43,12
669,25680,44,12
670,25699,45,12
671,25719,46,12
672,25745,47,12
673,25762,48,12
674,25788,49,12
675,25817,50,12
676,25887,51,12
677,26116,52,12
678,26201,1,13
679,26227,2,13
680,26251,3,13
681,26279,4,13
682,26304,5,13
683,26328,6,13
684,26355,7,13
685,26380,8,13
686,26407,9,13
687,26428,10,13
688,26453,11,13
689,26477,12,13
690,26500,13,13
691,26520,14,13
692,26544,15,13
693,26575,16,13
694,26595,17,13
695,26616,18,13
696,26645,19,13
697,26669,20,13
698,26695,21,13
699,26712,22,13
700,26743,23,13
701,26760,24,13
702,26777,25,13
703,26808,26,13
704,26829,27,13
705,26863,28,13
706,26896,29,13
707,26925,30,13
708,26953,31,13
709,26986,32,13
710,27006,33,13
711,27039,34,13
712,27139,35,13
713,27157,36,13
714,27440,37,13
715,27523,1,14
716,27549,2,14
717,27575,3,14
718,27601,4,14
719,27623,5,14
720,27645,6,14
