,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,2.0,91182.0,1.0,0.0,,40.0,91182.0,26-22
1,1.0,91239.0,1.0,0.0,,40.0,91239.0,26-23
2,2.0,91400.0,1.0,0.0,,40.0,91400.0,
3,1.0,91408.0,1.0,0.0,,40.0,91408.0,
4,1.0,91570.0,2.0,0.0,,984.0,91612.0,
5,2.0,91583.0,3.0,0.0,,2620.0,91664.0,
6,1.0,91712.0,3.0,0.0,,1540.0,91792.0,
7,2.0,91808.0,1.0,0.0,,280.0,91808.0,
8,1.0,91939.0,1.0,0.0,,100.0,91939.0,
9,2.0,92110.0,2.0,0.0,,360.0,92152.0,
10,1.0,92167.0,3.0,0.0,,1340.0,92249.0,
11,2.0,92259.0,4.0,0.0,,2462.0,92383.0,
12,1.0,92423.0,5.0,1.0,,7670.0,92596.0,
13,2.0,92547.0,5.0,1.0,,12620.0,92715.0,
