,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,43282.0,32,1.0,3.0,0.0,,1500.0,0.0,0,0.0,1,1,5-7,1.0,43404.0,43414.0,43459.0,43469.0,43389.0,43279.0
1,43400.0,37,2.0,6.0,0.0,,14000.0,0.0,0,,1,0,6-7,,43647.0,43657.0,43702.0,43712.0,43632.0,43397.0
2,43524.0,36,1.0,13.0,1.0,95.0,78046.0,0.0,0,,1,0,,,44055.0,44065.0,44110.0,44120.0,44040.0,43521.0
3,44008.0,51,2.0,9.0,0.0,,45130.0,1.0,30,,0,0,,,44380.0,44390.0,44435.0,44445.0,44365.0,44005.0
4,44363.0,51,1.0,6.0,1.0,92.5925925925926,8680.0,1.0,100,,0,1,,,44606.0,44616.0,44661.0,44671.0,44591.0,44360.0
