,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,94161.0,2,1.0,1.0,1.0,,2147.0,0,0,1.0,1,1,23-19,1.0,94201.0,94211.0,94256.0,94266.0,94186.0,94158.0
1,94161.0,2,2.0,1.0,1.0,,2147.0,0,0,,1,0,24-19,,94201.0,94211.0,94256.0,94266.0,94186.0,94158.0
2,94342.0,8,2.0,1.0,0.0,,105.0,0,0,,1,0,,,94382.0,94392.0,94437.0,94447.0,94367.0,94339.0
3,94380.0,10,1.0,1.0,1.0,,107.0,0,0,,1,0,,,94420.0,94430.0,94475.0,94485.0,94405.0,94377.0
4,94774.0,24,2.0,2.0,0.0,,980.0,0,0,,1,0,,,94856.0,94866.0,94911.0,94921.0,94841.0,94771.0
5,94823.0,28,1.0,4.0,0.0,,3663.0,0,0,,1,0,,,94990.0,95000.0,95045.0,95055.0,94975.0,94820.0
6,94899.0,26,2.0,4.0,1.0,,3780.0,0,0,,1,0,,,95062.0,95072.0,95117.0,95127.0,95047.0,94896.0
7,95044.0,31,1.0,6.0,1.0,80.64516129032258,9420.0,1,26,,0,0,,,95290.0,95300.0,95345.0,95355.0,95275.0,95041.0
