,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,31623.0,30,1.0,2.0,0.0,,925.0,0,0,0.0,1,1,2-3,2.0,31704.0,31714.0,31759.0,31769.0,31689.0,31620.0
1,31682.0,31,2.0,5.0,0.0,,6845.0,0,0,,1,0,2-4,,31886.0,31896.0,31941.0,31951.0,31871.0,31679.0
2,31842.0,37,1.0,5.0,0.0,,8080.0,0,0,,1,0,,,32050.0,32060.0,32105.0,32115.0,32035.0,31839.0
3,32067.0,41,2.0,8.0,1.0,66.0377358490566,29090.0,2,10,,0,0,,,32391.0,32401.0,32446.0,32456.0,32376.0,32064.0
