,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,40250,18,1.0,1.0,0,,606,1.0,3,0.0,0.0,1,5-5,2.0,40290.0,40300.0,40345.0,40355.0,40275.0,40247.0
1,40293,19,2.0,1.0,0,,40,1.0,8,,0.0,1,5-6,,40333.0,40343.0,40388.0,40398.0,40318.0,40290.0
2,40434,22,2.0,3.0,0,,1917,0.0,0,,1.0,1,,,40559.0,40569.0,40614.0,40624.0,40544.0,40431.0
3,40555,28,1.0,3.0,0,,2400,0.0,0,,1.0,0,,,40678.0,40688.0,40733.0,40743.0,40663.0,40552.0
4,40696,28,2.0,2.0,0,,700,2.0,3,,0.0,0,,,40777.0,40787.0,40832.0,40842.0,40762.0,40693.0
5,41047,38,2.0,2.0,0,,1354,2.0,10,,0.0,1,,,41128.0,41138.0,41183.0,41193.0,41113.0,41044.0
6,41055,44,1.0,1.0,0,,240,2.0,100,,0.0,1,,,41095.0,41105.0,41150.0,41160.0,41080.0,41052.0
