,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,36554.0,27,2.0,2.0,0.0,,680.0,0,0,0.0,1,1,3-5,1.0,36635.0,36645.0,36690.0,36700.0,36620.0,36551.0
1,36621.0,29,1.0,5.0,0.0,,6086.0,0,0,,1,0,4-5,,36826.0,36836.0,36881.0,36891.0,36811.0,36618.0
2,36781.0,32,2.0,5.0,0.0,,6000.0,0,0,,1,0,,,36985.0,36995.0,37040.0,37050.0,36970.0,36778.0
3,36983.0,37,1.0,10.0,1.0,88.46153846153847,46460.0,0,0,,1,0,,,37394.0,37404.0,37449.0,37459.0,37379.0,36980.0
4,37442.0,51,2.0,7.0,0.0,,18880.0,1,29,,0,0,,,37733.0,37743.0,37788.0,37798.0,37718.0,37439.0
