,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,100539,26,1.0,2.0,0,,1753,0.0,0,0.0,1,1,26-20,1.0,100620.0,100630.0,100675.0,100685.0,100605.0,100536.0
1,100613,29,2.0,3.0,0,,1680,0.0,0,,1,0,27-20,,100735.0,100745.0,100790.0,100800.0,100720.0,100610.0
2,100780,34,1.0,1.0,0,,40,0.0,0,,1,0,,,100820.0,100830.0,100875.0,100885.0,100805.0,100777.0
3,100916,35,2.0,1.0,0,,450,0.0,0,,1,0,,,100956.0,100966.0,101011.0,101021.0,100941.0,100913.0
4,100982,41,1.0,3.0,0,,2356,0.0,0,,1,0,,,101107.0,101117.0,101162.0,101172.0,101092.0,100979.0
5,101098,39,2.0,3.0,0,,2740,1.0,16,,0,0,,,101221.0,101231.0,101276.0,101286.0,101206.0,101095.0
6,101130,43,1.0,3.0,0,,1947,1.0,11,,0,1,,,101254.0,101264.0,101309.0,101319.0,101239.0,101127.0
7,101330,47,1.0,2.0,0,,1440,0.0,0,,1,1,,,101413.0,101423.0,101468.0,101478.0,101398.0,101327.0
8,101402,43,2.0,3.0,0,,1060,1.0,6,,0,0,,,101527.0,101537.0,101582.0,101592.0,101512.0,101399.0
9,101447,48,1.0,3.0,0,,1327,1.0,16,,0,1,,,101568.0,101578.0,101623.0,101633.0,101553.0,101444.0
10,101649,52,1.0,2.0,1,,760,0.0,0,,1,1,,,101731.0,101741.0,101786.0,101796.0,101716.0,101646.0
11,101715,48,2.0,1.0,1,,40,1.0,100,,0,0,,,101755.0,101765.0,101810.0,101820.0,101740.0,101712.0
