,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,23677.0,29,1.0,1.0,0.0,,104.0,0.0,0,0.0,1,1,0-0,2.0,23717.0,23727.0,23772.0,23782.0,23702.0,23674.0
1,23721.0,29,2.0,1.0,0.0,,40.0,0.0,0,,1,0,0-1,,23761.0,23771.0,23816.0,23826.0,23746.0,23718.0
2,23819.0,34,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,23859.0,23869.0,23914.0,23924.0,23844.0,23816.0
3,23968.0,36,2.0,15.0,1.0,94.02985074626864,106580.0,0.0,0,,1,0,,,24582.0,24592.0,24637.0,24647.0,24567.0,23965.0
4,24052.0,39,1.0,1.0,0.0,,40.0,2.0,100,,0,0,,,24092.0,24102.0,24147.0,24157.0,24077.0,24049.0
