,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,50438.0,30,1.0,1.0,0.0,,40.0,0.0,0,0.0,1,1,7-9,2.0,50478.0,50488.0,50533.0,50543.0,50463.0,50435.0
1,50483.0,32,2.0,2.0,0.0,,702.0,0.0,0,,1,0,7-10,,50565.0,50575.0,50620.0,50630.0,50550.0,50480.0
2,50566.0,34,1.0,4.0,0.0,,2780.0,0.0,0,,1,0,,,50731.0,50741.0,50786.0,50796.0,50716.0,50563.0
3,50575.0,33,2.0,12.0,1.0,90.74074074074072,62080.0,2.0,100,,0,0,,,51066.0,51076.0,51121.0,51131.0,51051.0,50572.0
