,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,108514.0,30,2.0,12.0,1.0,95.0,77720.0,0.0,0,0.0,1,1,29-22,2.0,109006.0,109016.0,109061.0,109071.0,108991.0,108511.0
1,108610.0,31,1.0,1.0,0.0,,100.0,0.0,0,,1,0,29-23,,108650.0,108660.0,108705.0,108715.0,108635.0,108607.0
2,108742.0,35,1.0,1.0,0.0,,45.0,0.0,0,,1,0,,,108782.0,108792.0,108837.0,108847.0,108767.0,108739.0
3,108824.0,37,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,108864.0,108874.0,108919.0,108929.0,108849.0,108821.0
4,108897.0,39,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,108937.0,108947.0,108992.0,109002.0,108922.0,108894.0
5,108988.0,42,1.0,1.0,1.0,,100.0,2.0,100,,0,0,,,109028.0,109038.0,109083.0,109093.0,109013.0,108985.0
