,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,25363,27,2.0,1.0,0,,184,0.0,0,0.0,1.0,1,0-1,1.0,25403.0,25413.0,25458.0,25468.0,25388.0,25360.0
1,25372,26,1.0,1.0,0,,40,2.0,2,,0.0,0,1-1,,25412.0,25422.0,25467.0,25477.0,25397.0,25369.0
2,25498,32,2.0,3.0,0,,1243,0.0,0,,1.0,1,,,25619.0,25629.0,25674.0,25684.0,25604.0,25495.0
3,25579,32,1.0,4.0,0,,905820,1.0,100,,0.0,0,,,25744.0,25754.0,25799.0,25809.0,25729.0,25576.0
