,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,95617.0,2,1.0,1.0,1.0,,2287.0,0.0,0,1.0,1.0,1,24-19,2.0,95657.0,95667.0,95712.0,95722.0,95642.0,95614.0
1,95618.0,2,2.0,1.0,1.0,,2287.0,0.0,0,,1.0,0,24-20,,95658.0,95668.0,95713.0,95723.0,95643.0,95615.0
2,95766.0,6,2.0,1.0,0.0,,44.0,2.0,26,,0.0,0,,,95806.0,95816.0,95861.0,95871.0,95791.0,95763.0
3,95877.0,9,1.0,1.0,0.0,,40.0,1.0,23,,0.0,1,,,95917.0,95927.0,95972.0,95982.0,95902.0,95874.0
4,96066.0,16,1.0,3.0,0.0,,2060.0,0.0,0,,1.0,1,,,96190.0,96200.0,96245.0,96255.0,96175.0,96063.0
5,96101.0,18,2.0,6.0,1.0,93.33333333333331,9360.0,2.0,28,,0.0,0,,,96355.0,96365.0,96410.0,96420.0,96340.0,96098.0
6,96420.0,26,1.0,1.0,1.0,,40.0,2.0,100,,0.0,1,,,96460.0,96470.0,96515.0,96525.0,96445.0,96417.0
