,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,99333,32,2.0,2.0,0,,1146,0.0,0,0.0,1,1,25-20,1.0,99414.0,99424.0,99469.0,99479.0,99399.0,99330.0
1,99334,32,1.0,4.0,0,,2940,0.0,0,,1,0,26-20,,99500.0,99510.0,99555.0,99565.0,99485.0,99331.0
2,99438,34,2.0,1.0,0,,40,0.0,0,,1,0,,,99478.0,99488.0,99533.0,99543.0,99463.0,99435.0
3,99513,36,2.0,3.0,0,,2090,1.0,7,,0,0,,,99635.0,99645.0,99690.0,99700.0,99620.0,99510.0
4,99520,34,1.0,4.0,0,,3425,1.0,100,,0,1,,,99685.0,99695.0,99740.0,99750.0,99670.0,99517.0
