,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,106972,24,2.0,1.0,0,,240,0.0,0,0.0,1.0,1,29-21,2.0,107012.0,107022.0,107067.0,107077.0,106997.0,106969.0
1,107008,26,1.0,2.0,0,,360,0.0,0,,1.0,0,29-22,,107090.0,107100.0,107145.0,107155.0,107075.0,107005.0
2,107099,28,2.0,2.0,0,,360,0.0,0,,1.0,0,,,107181.0,107191.0,107236.0,107246.0,107166.0,107096.0
3,107258,29,2.0,1.0,0,,246,2.0,3,,0.0,0,,,107298.0,107308.0,107353.0,107363.0,107283.0,107255.0
4,107337,31,2.0,2.0,0,,365,0.0,0,,1.0,1,,,107419.0,107429.0,107474.0,107484.0,107404.0,107334.0
5,107351,32,1.0,1.0,0,,40,2.0,2,,0.0,0,,,107391.0,107401.0,107446.0,107456.0,107376.0,107348.0
6,107435,32,2.0,4.0,0,,2463,2.0,100,,0.0,1,,,107597.0,107607.0,107652.0,107662.0,107582.0,107432.0
