,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,68153.0,26,1.0,1.0,0.0,,101.0,1.0,4,0.0,0,1,15-11,2.0,68193.0,68203.0,68248.0,68258.0,68178.0,68150.0
1,68287.0,31,1.0,1.0,0.0,,280.0,0.0,0,,1,1,15-12,,68327.0,68337.0,68382.0,68392.0,68312.0,68284.0
2,68309.0,30,2.0,1.0,0.0,,40.0,0.0,0,,1,0,,,68349.0,68359.0,68404.0,68414.0,68334.0,68306.0
3,68372.0,31,2.0,1.0,0.0,,43.0,0.0,0,,1,0,,,68412.0,68422.0,68467.0,68477.0,68397.0,68369.0
4,68458.0,33,2.0,2.0,0.0,,540.0,0.0,0,,1,0,,,68539.0,68549.0,68594.0,68604.0,68524.0,68455.0
5,68517.0,39,1.0,5.0,0.0,,910330.0,0.0,0,,1,0,,,68725.0,68735.0,68780.0,68790.0,68710.0,68514.0
6,68669.0,38,2.0,10.0,1.0,91.52542372881358,9052760.0,2.0,100,,0,0,,,69076.0,69086.0,69131.0,69141.0,69061.0,68666.0
