,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,83149.0,22,2.0,2.0,0.0,,1545.0,2.0,1,0.0,0.0,1,20-15,2.0,83229.0,83239.0,83284.0,83294.0,83214.0,83146.0
1,83221.0,24,1.0,5.0,0.0,,6027.0,0.0,0,,1.0,1,20-16,,83428.0,83438.0,83483.0,83493.0,83413.0,83218.0
2,83389.0,31,2.0,6.0,1.0,80.0,15940.0,0.0,0,,1.0,0,,,83637.0,83647.0,83692.0,83702.0,83622.0,83386.0
3,83532.0,30,1.0,5.0,1.0,,8320.0,2.0,100,,0.0,0,,,83736.0,83746.0,83791.0,83801.0,83721.0,83529.0
