,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,86429,23,1.0,1.0,0,,285,1.0,6,0.0,0.0,1,21-16,2.0,86469.0,86479.0,86524.0,86534.0,86454.0,86426.0
1,86650,29,2.0,4.0,0,,3200,0.0,0,,1.0,1,21-17,,86815.0,86825.0,86870.0,86880.0,86800.0,86647.0
2,86723,34,1.0,3.0,0,,2100,2.0,16,,0.0,0,,,86845.0,86855.0,86900.0,86910.0,86830.0,86720.0
3,86946,35,2.0,2.0,0,,1680,2.0,14,,0.0,1,,,87028.0,87038.0,87083.0,87093.0,87013.0,86943.0
4,86959,38,1.0,2.0,1,,360,2.0,100,,0.0,1,,,87041.0,87051.0,87096.0,87106.0,87026.0,86956.0
