,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,61597.0,23,2.0,1.0,0.0,,46.0,2.0,3,0.0,0,1,12-11,1.0,61637.0,61647.0,61692.0,61702.0,61622.0,61594.0
1,61708.0,28,1.0,1.0,0.0,,100.0,1.0,4,,0,1,13-11,,61748.0,61758.0,61803.0,61813.0,61733.0,61705.0
2,61776.0,29,1.0,1.0,0.0,,280.0,0.0,0,,1,1,,,61816.0,61826.0,61871.0,61881.0,61801.0,61773.0
3,61815.0,28,2.0,7.0,0.0,,13800.0,0.0,0,,1,0,,,62100.0,62110.0,62155.0,62165.0,62085.0,61812.0
4,62001.0,36,1.0,10.0,1.0,76.11940298507463,40760.0,1.0,100,,0,0,,,62413.0,62423.0,62468.0,62478.0,62398.0,61998.0
