,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,77860.0,28,2.0,2.0,0.0,,545.0,2.0,3,0.0,0,1,18-14,1.0,77941.0,77951.0,77996.0,78006.0,77926.0,77857.0
1,78006.0,31,2.0,6.0,0.0,,10020.0,0.0,0,,1,1,19-14,,78253.0,78263.0,78308.0,78318.0,78238.0,78003.0
2,78063.0,36,1.0,1.0,0.0,,40.0,0.0,0,,1,0,,,78103.0,78113.0,78158.0,78168.0,78088.0,78060.0
3,78157.0,37,1.0,7.0,0.0,,33540.0,0.0,0,,1,0,,,78449.0,78459.0,78504.0,78514.0,78434.0,78154.0
4,78426.0,38,2.0,7.0,1.0,80.0,16820.0,2.0,30,,0,0,,,78713.0,78723.0,78768.0,78778.0,78698.0,78423.0
5,78720.0,50,1.0,7.0,1.0,92.5,24400.0,1.0,100,,0,1,,,79007.0,79017.0,79062.0,79072.0,78992.0,78717.0
