,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,96721.0,2,1.0,1.0,1.0,,2145.0,0,0,1.0,1,1,24-20,1.0,96761.0,96771.0,96816.0,96826.0,96746.0,96718.0
1,96721.0,2,2.0,1.0,1.0,,2147.0,0,0,,1,0,25-20,,96761.0,96771.0,96816.0,96826.0,96746.0,96718.0
2,97201.0,21,1.0,2.0,0.0,,360.0,0,0,,1,0,,,97284.0,97294.0,97339.0,97349.0,97269.0,97198.0
3,97215.0,20,2.0,1.0,0.0,,43.0,0,0,,1,0,,,97255.0,97265.0,97310.0,97320.0,97240.0,97212.0
4,97655.0,34,2.0,1.0,0.0,,40.0,0,0,,1,0,,,97695.0,97705.0,97750.0,97760.0,97680.0,97652.0
5,97723.0,35,2.0,12.0,1.0,89.47368421052632,65700.0,0,0,,1,0,,,98214.0,98224.0,98269.0,98279.0,98199.0,97720.0
6,97812.0,41,1.0,13.0,1.0,89.8550724637681,96830.0,1,13,,0,0,,,98344.0,98354.0,98399.0,98409.0,98329.0,97809.0
