,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,115842.0,30,1.0,1.0,0.0,,180.0,1,4,0.0,0,1,29-26,2.0,115882.0,115892.0,115937.0,115947.0,115867.0,115839.0
1,115951.0,31,2.0,2.0,0.0,,360.0,0,0,,1,1,29-27,,116032.0,116042.0,116087.0,116097.0,116017.0,115948.0
2,116036.0,36,1.0,9.0,1.0,72.72727272727273,49320.0,0,0,,1,0,,,116404.0,116414.0,116459.0,116469.0,116389.0,116033.0
3,116224.0,37,2.0,1.0,0.0,,40.0,0,0,,1,0,,,116264.0,116274.0,116319.0,116329.0,116249.0,116221.0
4,116322.0,39,2.0,12.0,1.0,92.1875,82120.0,2,2,,0,0,,,116813.0,116823.0,116868.0,116878.0,116798.0,116319.0
