,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,91024.0,31,2.0,1.0,0.0,,40.0,0,0,0.0,1,1,22-18,2.0,91064.0,91074.0,91119.0,91129.0,91049.0,91021.0
1,91072.0,31,1.0,1.0,0.0,,100.0,0,0,,1,0,22-19,,91112.0,91122.0,91167.0,91177.0,91097.0,91069.0
2,91091.0,32,2.0,2.0,0.0,,363.0,0,0,,1,0,,,91171.0,91181.0,91226.0,91236.0,91156.0,91088.0
3,91149.0,33,1.0,8.0,0.0,,6632.0,0,0,,1,0,,,91481.0,91491.0,91536.0,91546.0,91466.0,91146.0
4,91245.0,36,2.0,3.0,0.0,,3420.0,0,0,,1,0,,,91366.0,91376.0,91421.0,91431.0,91351.0,91242.0
5,91482.0,41,2.0,7.0,1.0,86.66666666666669,17300.0,0,0,,1,0,,,91774.0,91784.0,91829.0,91839.0,91759.0,91479.0
6,91783.0,49,1.0,4.0,1.0,,4570.0,2,22,,0,0,,,91946.0,91956.0,92001.0,92011.0,91931.0,91780.0
