,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,75322,29,2.0,1.0,0,,40,0.0,0,0.0,1,1,17-13,1.0,75362.0,75372.0,75417.0,75427.0,75347.0,75319.0
1,75423,34,1.0,1.0,0,,40,1.0,3,,0,0,18-13,,75463.0,75473.0,75518.0,75528.0,75448.0,75420.0
2,75552,33,2.0,1.0,0,,40,0.0,0,,1,1,,,75592.0,75602.0,75647.0,75657.0,75577.0,75549.0
3,75588,36,1.0,3.0,0,,1500,0.0,0,,1,0,,,75710.0,75720.0,75765.0,75775.0,75695.0,75585.0
4,75728,37,2.0,1.0,1,,40,0.0,0,,1,0,,,75768.0,75778.0,75823.0,75833.0,75753.0,75725.0
5,75783,37,1.0,1.0,0,,40,1.0,100,,0,0,,,75823.0,75833.0,75878.0,75888.0,75808.0,75780.0
