,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,117656.0,23,2.0,1.0,0.0,,45.0,2.0,3,0.0,0.0,1,29-27,1.0,117696.0,117706.0,117751.0,117761.0,117681.0,117653.0
1,117922.0,36,1.0,1.0,0.0,,40.0,0.0,0,,1.0,1,30-27,,117962.0,117972.0,118017.0,118027.0,117947.0,117919.0
2,118014.0,39,1.0,1.0,0.0,,40.0,0.0,0,,1.0,0,,,118054.0,118064.0,118109.0,118119.0,118039.0,118011.0
3,118069.0,40,1.0,13.0,1.0,91.30434782608695,93940.0,1.0,100,,0.0,0,,,118609.0,118619.0,118664.0,118674.0,118594.0,118066.0
