,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,26656.0,31,1.0,2.0,0.0,,700.0,0,0,0.0,1,1,1-1,1.0,26738.0,26748.0,26793.0,26803.0,26723.0,26653.0
1,26753.0,34,2.0,1.0,0.0,,40.0,1,4,,0,0,2-1,,26793.0,26803.0,26848.0,26858.0,26778.0,26750.0
2,26870.0,35,2.0,2.0,0.0,,360.0,0,0,,1,1,,,26951.0,26961.0,27006.0,27016.0,26936.0,26867.0
3,26885.0,36,1.0,12.0,1.0,91.80327868852459,69840.0,0,0,,1,0,,,27382.0,27392.0,27437.0,27447.0,27367.0,26882.0
4,27199.0,41,2.0,9.0,0.0,,39960.0,1,27,,0,0,,,27572.0,27582.0,27627.0,27637.0,27557.0,27196.0
