,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,103871.0,25,2.0,1.0,0.0,,40.0,0,0,0.0,1.0,1,27-21,1.0,103911.0,103921.0,103966.0,103976.0,103896.0,103868.0
1,103894.0,25,1.0,3.0,0.0,,1348.0,0,0,,1.0,0,28-21,,104017.0,104027.0,104072.0,104082.0,104002.0,103891.0
2,103932.0,26,2.0,4.0,0.0,,2280.0,2,10,,0.0,0,,,104093.0,104103.0,104148.0,104158.0,104078.0,103929.0
3,104315.0,35,2.0,1.0,0.0,,100.0,0,0,,1.0,1,,,104355.0,104365.0,104410.0,104420.0,104340.0,104312.0
4,104323.0,36,1.0,11.0,1.0,82.45614035087719,53540.0,1,27,,0.0,0,,,104776.0,104786.0,104831.0,104841.0,104761.0,104320.0
5,104524.0,40,2.0,7.0,0.0,,15740.0,1,26,,0.0,1,,,104814.0,104824.0,104869.0,104879.0,104799.0,104521.0
