,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,112124,26,2.0,1.0,0,,45,2.0,3,0.0,0,1,29-24,2.0,112164.0,112174.0,112219.0,112229.0,112149.0,112121.0
1,112232,31,1.0,1.0,0,,240,0.0,0,,1,1,29-25,,112272.0,112282.0,112327.0,112337.0,112257.0,112229.0
2,112267,31,2.0,3.0,0,,1580,2.0,11,,0,0,,,112390.0,112400.0,112445.0,112455.0,112375.0,112264.0
3,112305,32,1.0,1.0,0,,40,0.0,0,,1,1,,,112345.0,112355.0,112400.0,112410.0,112330.0,112302.0
4,112438,33,2.0,2.0,0,,1270,0.0,0,,1,0,,,112519.0,112529.0,112574.0,112584.0,112504.0,112435.0
5,112524,38,1.0,2.0,1,,360,2.0,100,,0,0,,,112606.0,112616.0,112661.0,112671.0,112591.0,112521.0
