,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,29845.0,2,1.0,1.0,1.0,,2147.0,0.0,0,1.0,1.0,1,2-2,2.0,29885.0,29895.0,29940.0,29950.0,29870.0,29842.0
1,29845.0,2,2.0,1.0,1.0,,2146.0,0.0,0,,1.0,0,2-3,,29885.0,29895.0,29940.0,29950.0,29870.0,29842.0
2,30291.0,19,2.0,1.0,0.0,,40.0,2.0,22,,0.0,0,,,30331.0,30341.0,30386.0,30396.0,30316.0,30288.0
3,30445.0,24,2.0,6.0,1.0,69.23076923076923,10200.0,0.0,0,,1.0,1,,,30691.0,30701.0,30746.0,30756.0,30676.0,30442.0
4,30492.0,23,1.0,1.0,0.0,,40.0,2.0,23,,0.0,0,,,30532.0,30542.0,30587.0,30597.0,30517.0,30489.0
5,30640.0,28,1.0,1.0,0.0,,42.0,0.0,0,,1.0,1,,,30680.0,30690.0,30735.0,30745.0,30665.0,30637.0
6,30689.0,29,1.0,1.0,1.0,,40.0,2.0,100,,0.0,0,,,30729.0,30739.0,30784.0,30794.0,30714.0,30686.0
