,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Time1,Time2,Time3,Time4,Time5,Time6
0,69905.0,26,2.0,2.0,0.0,,540.0,0,0,0.0,1,1,15-12,2.0,69985.0,69995.0,70040.0,70050.0,69970.0,69902.0
1,69974.0,27,1.0,3.0,0.0,,1820.0,0,0,,1,0,15-13,,70097.0,70107.0,70152.0,70162.0,70082.0,69971.0
2,70026.0,28,2.0,3.0,0.0,,3267.0,0,0,,1,0,,,70152.0,70162.0,70207.0,70217.0,70137.0,70023.0
3,70141.0,29,1.0,6.0,1.0,72.72727272727273,13930.0,0,0,,1,0,,,70386.0,70396.0,70441.0,70451.0,70371.0,70138.0
4,70392.0,40,2.0,10.0,1.0,86.95652173913044,37960.0,0,0,,1,0,,,70802.0,70812.0,70857.0,70867.0,70787.0,70389.0
5,70793.0,47,1.0,6.0,1.0,72.54901960784314,14900.0,2,30,,0,0,,,71043.0,71053.0,71098.0,71108.0,71028.0,70790.0
